Property area,Type,Floor,Parking,Condition,Furnishing,Included,Online viewing,Air conditioning,Construction year,Energy Efficiency,Bedrooms,Square meter price,Bathrooms,title,extra title,sku,posted,price,price sq,agent,posting since,description,lat,lon,Reference number,Postal code,Registration block,Registration number
75,Apartment,2nd,Covered,Under construction,Unfurnished,"Elevator, Balcony, Storage room",No,"Full, all rooms",2025,A,2,2133,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",6011340,Posted: Yesterday 15:22,160000,2133,MARIOS & CHRIS DEMETRIOU CONSTRUCTION & DEVELOPMENT LTD,"Posting since sep, 2023","2 Bedrooms.2 Bathrooms.Covered Parking.Unfurnished.Second Floor.Under Construction.75 sq.m. Property area.10 sq.m. Front Covered Veranda.7 sq.m. Front Uncovered Veranda.5 sq.m. Back Covered Veranda.Solar Panels.Call anytime Monday until Sunday or text me in WhatsApp or Viber.We build houses and apartment buildings with Concrete, Steel and Wooden in all over Cyprus. We can help you to find the plot in the right Location. Make your reservation now..READY TO BUILD",34.9187696,33.5913156,,,,
75,Apartment,2nd,Covered,Under construction,Unfurnished,"Elevator, Balcony, Storage room",No,"Full, all rooms",2025,A,2,2133,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",6011340,Posted: Yesterday 15:22,160000,2133,MARIOS & CHRIS DEMETRIOU CONSTRUCTION & DEVELOPMENT LTD,"Posting since sep, 2023","2 Bedrooms.2 Bathrooms.Covered Parking.Unfurnished.Second Floor.Under Construction.75 sq.m. Property area.10 sq.m. Front Covered Veranda.7 sq.m. Front Uncovered Veranda.5 sq.m. Back Covered Veranda.Solar Panels.Call anytime Monday until Sunday or text me in WhatsApp or Viber.We build houses and apartment buildings with Concrete, Steel and Wooden in all over Cyprus. We can help you to find the plot in the right Location. Make your reservation now..READY TO BUILD",34.9187696,33.5913156,,,,
206,Apartment,5th,Uncovered,Brand new,Unfurnished,"Pool, Garden, Elevator, Storage room",,No,,A,3,2524,3,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Sotiros",5722288,Posted: Yesterday 14:33,520000,550000,E.G. GALLERY ESTATE,"Posting since sep, 2023","Reference ID: #GE2896Price details: Euro520,000 +VAT",,,GE2896,,,
206,Apartment,5th,Uncovered,Brand new,Unfurnished,"Pool, Garden, Elevator, Storage room",,No,,A,3,2524,3,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Sotiros",5722288,Posted: Yesterday 14:33,520000,550000,E.G. GALLERY ESTATE,"Posting since sep, 2023","Reference ID: #GE2896Price details: Euro520,000 +VAT",,,GE2896,,,
78,Penthouse,4th,Covered,Resale,Fully Furnished,"Storage room, Elevator, Balcony",No,"Full, all rooms",,N/A,2,4295,1,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Skala",5987219,Posted: 22.09.2025 17:46,335000,4295,Property Masters,"Posting since apr, 2019","For sale: This modern penthouse apartment offers 78 square meters of comfortable living space, featuring two spacious bedrooms and two contemporary bathrooms. Built in 2024 with a focus on style and efficiency, this resale property boasts an A+ energy rating, ensuring low utility costs and excellent insulation. The apartment is fully furnished with high-quality finishes and comes with direct elevator access for convenience..Located in one of the most sought-after neighborhoods, you will enjoy a peaceful atmosphere combined with easy access to all amenities. Well-known for its green parks, quiet streets, and close proximity to shopping, cafes, and schools. With easy access to the highway, commuting to other parts of the city is efficient and stress-free..The penthouse provides stunning panoramic views of the city and the saltlake, giving you a unique perspective both day and night. The large windows let in plenty of natural light, making the space bright and inviting..This beautiful property is a unique opportunity for modern urban living at its best. For more information or to arrange a viewing, contact Property Masters today.",34.91264819441986,33.60759605969591,2543,6037,,
78,Penthouse,4th,Covered,Resale,Fully Furnished,"Storage room, Elevator, Balcony",No,"Full, all rooms",,N/A,2,4295,1,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Skala",5987219,Posted: 22.09.2025 17:46,335000,4295,Property Masters,"Posting since apr, 2019","For sale: This modern penthouse apartment offers 78 square meters of comfortable living space, featuring two spacious bedrooms and two contemporary bathrooms. Built in 2024 with a focus on style and efficiency, this resale property boasts an A+ energy rating, ensuring low utility costs and excellent insulation. The apartment is fully furnished with high-quality finishes and comes with direct elevator access for convenience..Located in one of the most sought-after neighborhoods, you will enjoy a peaceful atmosphere combined with easy access to all amenities. Well-known for its green parks, quiet streets, and close proximity to shopping, cafes, and schools. With easy access to the highway, commuting to other parts of the city is efficient and stress-free..The penthouse provides stunning panoramic views of the city and the saltlake, giving you a unique perspective both day and night. The large windows let in plenty of natural light, making the space bright and inviting..This beautiful property is a unique opportunity for modern urban living at its best. For more information or to arrange a viewing, contact Property Masters today.",34.91264819441986,33.60759605969591,2543,6037,,
120,Penthouse,4th,Covered,Under construction,Unfurnished,"Garden, Elevator, Alarm, Balcony, Storage room",Yes,No,2025,A,2,2492,3,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Skala",5998621,Posted: 18.09.2025 09:52,299000,2492,Victoria royal investment LTD,"Posting since oct, 2023","✨ For Sale – Penthouse with Rooftop | Victoria 22, Fanaromeni – Larnaca ✨.A rare opportunity in one of Larnaca’s most prestigious neighborhoods!.We are proud to present the exclusive 4th-floor apartment with private rooftop terrace at Victoria 22, offering modern comfort and spectacular views of the Salt Lake..🏡 Apartment Highlights:.• Spacious 2-bedroom apartment on the 4th floor.• Private rooftop terrace with panoramic views.• Elegant design & premium finishes.• Private parking & storage room.• Located in the heart of Fanaromeni, the most sought-after residential area in Larnaca.📍 Prime Location:.• Direct view of the famous Salt Lake.• Walking distance to city center & all amenities.• 5 minutes from Finikoudes Beach & the marina.• Close to schools, shops, and parks.This penthouse is perfect for luxury living or as a high-return investment in one of the fastest-growing areas of Larnaca..📞 Contact us today to arrange a viewing and make it yours!",34.91169309864678,33.61755829813633,,,,
120,Penthouse,4th,Covered,Under construction,Unfurnished,"Garden, Elevator, Alarm, Balcony, Storage room",Yes,No,2025,A,2,2492,3,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Skala",5998621,Posted: 18.09.2025 09:52,299000,2492,Victoria royal investment LTD,"Posting since oct, 2023","✨ For Sale – Penthouse with Rooftop | Victoria 22, Fanaromeni – Larnaca ✨.A rare opportunity in one of Larnaca’s most prestigious neighborhoods!.We are proud to present the exclusive 4th-floor apartment with private rooftop terrace at Victoria 22, offering modern comfort and spectacular views of the Salt Lake..🏡 Apartment Highlights:.• Spacious 2-bedroom apartment on the 4th floor.• Private rooftop terrace with panoramic views.• Elegant design & premium finishes.• Private parking & storage room.• Located in the heart of Fanaromeni, the most sought-after residential area in Larnaca.📍 Prime Location:.• Direct view of the famous Salt Lake.• Walking distance to city center & all amenities.• 5 minutes from Finikoudes Beach & the marina.• Close to schools, shops, and parks.This penthouse is perfect for luxury living or as a high-return investment in one of the fastest-growing areas of Larnaca..📞 Contact us today to arrange a viewing and make it yours!",34.91169309864678,33.61755829813633,,,,
124,Apartment,8th and above,Covered,Resale,Fully Furnished,"Pool, Garden, Elevator, Alarm, Balcony, Storage room",No,"Full, all rooms",2019,A,2,5121,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Skala",5813945,Posted: 16.09.2025 18:24,635000,negotiable,Andreas,"Posting since mar, 2018","🔹 Luxury 2-Bedroom Apartment for Sale | Skala, Larnaca 🔹.10th Floor | Panoramic Views | Rooftop Pool | Concierge.Experience elevated coastal living in this high-end 2-bedroom apartment on the 10th floor of a modern residential tower in the sought-after Skala area, just moments from Larnaca’s vibrant seafront..Boasting uninterrupted panoramic views of the Mediterranean Sea, Salt Lake, and the Larnaca skyline, this property is a rare opportunity for discerning buyers seeking either a premium investment or a refined personal residence..📐 Property Details:.Internal Covered Area: 85 sqm.Covered Veranda: 30 sqm.Uncovered Veranda: 9 sqm.Bedrooms: 2.Bathrooms: 2.Year Built: 2019.Renovation: Fully renovated to a high standard.🌟 Features:.Expansive floor-to-ceiling windows with breathtaking views.Open-plan living and dining area with luxury finishes.Sleek, fully equipped kitchen with quality appliances.Spacious master suite and elegant guest bedroom.Rooftop communal swimming pool with sun deck.Concierge service for enhanced comfort and convenience.Gated entry, lift access, and secure parking.Whether you're looking for a stylish Larnaca residence or a property with strong rental appeal, this apartment offers the perfect blend of location, lifestyle, and luxury..📍 Location Highlights:.5-minute walk to the beach.Easy access to cafes, restaurants, and shops.Short drive to Larnaca Marina & Airport.Registered Real Estate Agent: Andreas Macheriotis - R.N. 1289, L.N. 668",34.89782859884548,33.63398830688476,,,,
124,Apartment,8th and above,Covered,Resale,Fully Furnished,"Pool, Garden, Elevator, Alarm, Balcony, Storage room",No,"Full, all rooms",2019,A,2,5121,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Skala",5813945,Posted: 16.09.2025 18:24,635000,negotiable,Andreas,"Posting since mar, 2018","🔹 Luxury 2-Bedroom Apartment for Sale | Skala, Larnaca 🔹.10th Floor | Panoramic Views | Rooftop Pool | Concierge.Experience elevated coastal living in this high-end 2-bedroom apartment on the 10th floor of a modern residential tower in the sought-after Skala area, just moments from Larnaca’s vibrant seafront..Boasting uninterrupted panoramic views of the Mediterranean Sea, Salt Lake, and the Larnaca skyline, this property is a rare opportunity for discerning buyers seeking either a premium investment or a refined personal residence..📐 Property Details:.Internal Covered Area: 85 sqm.Covered Veranda: 30 sqm.Uncovered Veranda: 9 sqm.Bedrooms: 2.Bathrooms: 2.Year Built: 2019.Renovation: Fully renovated to a high standard.🌟 Features:.Expansive floor-to-ceiling windows with breathtaking views.Open-plan living and dining area with luxury finishes.Sleek, fully equipped kitchen with quality appliances.Spacious master suite and elegant guest bedroom.Rooftop communal swimming pool with sun deck.Concierge service for enhanced comfort and convenience.Gated entry, lift access, and secure parking.Whether you're looking for a stylish Larnaca residence or a property with strong rental appeal, this apartment offers the perfect blend of location, lifestyle, and luxury..📍 Location Highlights:.5-minute walk to the beach.Easy access to cafes, restaurants, and shops.Short drive to Larnaca Marina & Airport.Registered Real Estate Agent: Andreas Macheriotis - R.N. 1289, L.N. 668",34.89782859884548,33.63398830688476,,,,
90,Apartment,2nd,Covered,Under construction,Unfurnished,"Elevator, Balcony, Storage room",,,,A,1,1944,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5913120,Posted: 16.09.2025 14:08,175000,negotiable,Abraj Developments,"Posting since jul, 2025","1-Bedroom Apartment for Sale – Larnaca, Cyprus:.- Under construction – Delivery by end of 2026.- Only 500 meters from the beach.- Sea view.- 1 bedroom, 1 bathroom.- Spacious balcony.Features:.- Private parking.- Elegant entrance and modern finishing.- Video phone system.- Storage room.- Solar panels for energy efficiency.- Payment facilities and installment plans available.Contact us for more details",34.94043356251885,33.6311674118042,,,,
90,Apartment,2nd,Covered,Under construction,Unfurnished,"Elevator, Balcony, Storage room",,,,A,1,1944,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5913120,Posted: 16.09.2025 14:08,175000,negotiable,Abraj Developments,"Posting since jul, 2025","1-Bedroom Apartment for Sale – Larnaca, Cyprus:.- Under construction – Delivery by end of 2026.- Only 500 meters from the beach.- Sea view.- 1 bedroom, 1 bathroom.- Spacious balcony.Features:.- Private parking.- Elegant entrance and modern finishing.- Video phone system.- Storage room.- Solar panels for energy efficiency.- Payment facilities and installment plans available.Contact us for more details",34.94043356251885,33.6311674118042,,,,
104,Apartment,1st,Covered,Brand new,Fully Furnished,"Garden, Elevator, Alarm, Balcony, Storage room",Yes,"Full, all rooms",2025,A,2,2596,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Sotiros",6012559,Posted: Today 12:01,270000,2596,KALAMON HOMES,"Posting since nov, 2017","Exclusive Opportunity at Kalamon Noma – Larnaca ✨.We’re excited to present Move-In ready apartments and a ground floor shop in our premium development designed for modern, upscale living..🔥 Available Now.📐 Internal Covered Area: 84square meter.🌿 Veranda: 20square meter.🛋️ Premium furniture package included.⚡ Premium electrical package included.💶 Price: Euro270,000 + VAT.✨ Don’t miss the chance to make Kalamon Noma your new home!",34.93496626900193,33.62152333339957,NOMA-101,,,
