Reference number,Property area,Type,Parking,Condition,Furnishing,Included,Postal code,Air conditioning,Energy Efficiency,Bedrooms,Square meter price,Bathrooms,title,extra title,sku,posted,price,price sq,agent,posting since,description,lat,lon,Floor,Online viewing,Construction year
3915,96,Apartment,No,Resale,Fully Furnished,Storage room,6042,"Full, all rooms",N/A,2,1771,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",5921972,Posted: Today 03:31,170000,1771,PLUS WISE ESTATES LTD,"Posting since jul, 2023","Lovely Two Bedroom Apartment in Agios Nikolaos, Larnaca center area. Amazing location, close to a wide range of amenities such as schools, banks, supermarkets, and more. Just a few minutes from Larnaca city center, the harbor, and the beach, offering both convenience and lifestyle. Only 5 km from the airport and with easy access to the motorway, ensuring smooth travel to and from the area..The internal area of the property is 96m2. The apartment consists of an open plan kitchen, living and dining area, two bedrooms, one shower, fully furnished, air conditioning, large covered veranda and private parking.",34.91539206248458,33.63405124420635,,,
3913,90,Apartment,No,Brand new,Fully Furnished,Balcony,7081,"Full, all rooms",N/A,3,2056,2,3-bedroom apartment fоr sаle,"Larnaca, Pyla Tourist Area",5921970,Posted: Today 03:31,185000,2056,PLUS WISE ESTATES LTD,"Posting since jul, 2023","This unique three-bedroom ground floor apartment is ideally located in the highly sought-after coastal area of Pyla Tourist Area, Larnaca, just a short walking distance—approximately 350 meters—from the sea. Bright and airy throughout, the apartment offers a welcoming and functional layout, making it perfect for both short-term getaways and long-term living..The property features three spacious bedrooms and two modern bathrooms, both equipped with walk-in showers. It comes fully furnished with tasteful, contemporary furniture and includes all essential electrical appliances, offering a turnkey living solution..Air conditioning units are installed in all rooms, ensuring comfort throughout the year..Thanks to its ground floor position, the apartment enjoys easy access and is filled with natural light, enhancing its already warm and inviting atmosphere..Situated in a peaceful yet convenient neighbourhood, the apartment is surrounded by a wide range of amenities including cafes, restaurants, supermarkets, and public transport options. Larnaca city centre is just 8 km away, while Larnaca International Airport is easily accessible at a distance of 15 km, making this location both practical and desirable..The apartment is ideal for those looking for a holiday home, a permanent residence, or a rental investment, and it comes with title deeds available, ensuring a smooth and secure purchase process.",34.97765417733396,33.68715177883306,,,
7992,80,Apartment,,Under construction,,,,,N/A,2,2688,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5222498,Posted: Today 03:30,215000,240000,Arena Properties,"Posting since feb, 2017","2 Bed Penthouses in Aradippou for sale.Introducing our exquisite off-plan apartments for sale in the charming locale of Aradippou. Nestled within a serene complex boasting a total of 9 units, these modern residences offer the epitome of comfort and style..Each penthouse features 2 bedrooms and 2 bathrooms, designed to accommodate contemporary living needs. With an anticipated completion date in December 2025, these homes present an exciting opportunity to invest in a flourishing community..Situated on the 3rd floor, these apartments offer a generous covered area of 80m2, complemented by a spacious covered veranda spanning 20m2 and roof garden of 33m2. Enjoy the perfect balance of indoor and outdoor living, ideal for relaxation and entertainment alike..The convenience of modern living is further enhanced by the presence of an elevator within the building, ensuring effortless access to your abode. Additionally, each apartment comes with the luxury of a covered parking space, providing utmost convenience and security for residents..Don't miss your chance to own a piece of this vibrant community in Aradippou. Enquire now to secure your place in this exclusive development and embrace a lifestyle of comfort, elegance, and convenience.",34.9521888,33.5908529,,,
7885,80,Apartment,,Under construction,,,,,N/A,2,4375,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Skala",5170135,Posted: Today 03:30,350000,4375,Arena Properties,"Posting since feb, 2017","2 Bed Apts in New Marina Area for Sale.The new project is located in the very exclusive and prestigious LARNACA MARINA AREA AND VERY CLOSE THE LARNACA TOWN CENTER..The project boasts sixteen apartments in total 6 one bedroom &amp; one bathroom on the first and second floor and 10 two bedroom &amp; two bathroom apartments on the rest of the floors- all with spacious and contemporary living areas. There are three apartments per storey – ensuring optimum privacy for potential buyers. The fifth-floor apartments benefit from individual private and luxury roof gardens with amazing views of the lovely Neighbourhood. Each apartment has one parking bay and a storage room on the ground level..The lovely residential neighborhood is quiet and family orientated surrounded by large luxury houses and residential properties. The project is very near to supermarkets, private schools such as the American Academy and with immediate access to highways to Nicosia, Limassol, Paphos and Ammoxostos..&nbsp;",34.9182222,33.6200625,,,
51174,81,Apartment,Covered,Under construction,Unfurnished,"Storage room, Elevator",7103,"Full, all rooms",A,2,2716,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5735865,Posted: Today 03:15,220000,2716,Kalogirou Real Estate,"Posting since mar, 2017","Stunning, Two Bedroom Apartment for sale in Aradippou area, Larnaca. The project boasts a central location where every modern convenience and essential facility can be easily accessed. Easy access to Larnaca, Nicosia, motorway without getting delayed in traffic..Apartment for sale in Larnaca, Aradippou area. It consists of a spacious open plan layout connecting kitchen, dining, living room, a main bathroom (with shower), 2 bedrooms, master bedroom is en suite with shower, and covered veranda. In addition, the residents have access to a covered parking and storage..The flat is a part of a project located in the flourishing residential sector of Aradippou, connected to Larnaca’s vibrant core. This luxury complex, spanning three floors, features eight meticulously designed two- and three-bedroom apartments. The development stands as a modern architectural marvel, seamlessly blending visionary design with opulent interiors to redefine contemporary living. Its distinctive style merges glass, steel, wood, and concrete, creating a unique urban oasis. All properties feature Energy-efficient Class A certificate, shared electricity with net metering photovoltaic System, electric vehicle charging stations, solar energy panels for eco-friendly living and many more..Extra: Covered Veranda, Provision for A/C, Covered Parking, Storage, Common Gym, Playground",34.94199707063589,33.5839424804058,1st,No,
169086,56,Apartment,Covered,Under construction,Unfurnished,,4102,No,A,1,2750,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5921900,Posted: Today 03:11,154000,2750,DOM Real Estate,"Posting since jul, 2019","Apartment for sale in Livadia, Larnaca. This is a modern two-storey residential complex consisting of 10 apartments: 8 double and 2 single. The apartments are distinguished by their ergonomic design and the high quality of the materials used. The apartments have a stylish kitchen and an open-plan living room.This energy-efficient complex is rated ""A"", which significantly reduces utility costs. The project also provides parking and a storage room for each apartment.The complex is located near the Land of Tomorrow complex. The location provides convenient access to the beach just a 5-minute walk away, and supermarkets, bakeries and cafes are nearby, providing everything you need for daily living. In addition, the project is located close to schools and universities, making it an ideal choice for families, students and professionals.",,,,Yes,
52185,78,Apartment,Covered,Under construction,Unfurnished,"Storage room, Elevator",,"Full, all rooms",A,2,4295,3,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Kamares",5874207,Posted: Today 00:14,335000,4295,Kalogirou Real Estate,"Posting since mar, 2017","Top Floor, Two Bedroom Flat with Roof Garden for sale in Kamares area, Larnaca. It is situated next to a green area and close to all amenities, such as school, supermarkets & within two minutes from Larnaca’s new hospital. A short drive to Larnaca Town Centre, the harbour and the beach. A 7-minute drive to the airport. Easy access to Larnaca, Limassol Nicosia motorway. The property is situated in a quiet, family oriented neighborhood and residential properties..Apartment for sale in Kamares area, Larnaca. It consists of an open plan kitchen, living, dining area, a main bathroom, two bedrooms, one en suite shower & wc in one of the bedrooms, covered veranda and roof garden with panoramic views. The roof garden consists of a spacious veranda, a storage room and a shower room. Moreover, the property offers one allocated covered parking and storage room..The apartment building is modernly designed and features top quality italian ceramic finish, unique glass balconies and clever layout of living areas designed to offer optional space, privacy and also a views of the prestigious neighbourhood and Famous Larnaca Salt Lake. The project will have an energy efficiency of grade “A” since photovoltaic panels will be installed on the roof in order to produce renewable energy. The photovoltaic panels through “net metering” will make sure owners benefit from significant savings in electricity consumption..Extra: Provision A/C, Covered Veranda, Roof Garden, Covered Parking, Storage, Elevator",34.91903497532714,33.60686533503429,4th,No,
51171,90,Penthouse,Covered,Under construction,Unfurnished,"Storage room, Elevator",,"Full, all rooms",A,3,3556,2,3-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Harbor",5735009,Posted: Today 00:14,320000,3556,Kalogirou Real Estate,"Posting since mar, 2017","Amazing, Three Bedroom Penthouse for sale in New Marina- Port area, Larnaca. The property is situated in a prime location. All amenities such as supermarkets, schools, shops, banks are few meters away. In addition, city center of Larnaca is 6 minutes away. Easy access to Larnaca, Limassol, Nicosia motorway..Penthouse for sale in New Marina-Port area, Larnaca. The apartment is on the third floor. It consists of an open plan kitchen, living room, dining area, a main bathroom (with shower), 3 bedrooms, en suite master bedroom, covered veranda and a beautiful roof garden. Additionally, the property has access to a storage room on the roof top and a covered parking space on the ground floor..The apartment is part of an apartment building comprised of just 3 whole-floor apartments. All units comprised of 3 bedrooms and have exclusive right of use to a covered parking and storage. The penthouse, enjoys access to a private roof garden. It is worth mentioning that there is provision for a/c and solar photovoltaic system..The property is an ideal choice for those who seek small residential building while they are surrounded by plethora of amenities..Extra: Provision for A/C, Roof Garden, Covered Veranda, Storage, Covered Parking, Elevator, Provision Solar Photovoltaic System",34.92929703421797,33.62554933157173,3rd,No,
51169,90,Apartment,Covered,Under construction,Unfurnished,"Storage room, Elevator",,"Full, all rooms",A,3,3000,2,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Harbor",5735006,Posted: Today 00:14,270000,3000,Kalogirou Real Estate,"Posting since mar, 2017","Contemporary, Three Bedroom Apartment for sale in New Marina- Port area, Larnaca. The property is situated in a prime location. All amenities such as supermarkets, schools, shops, banks are few meters away. In addition, city center of Larnaca is 6 minutes away. Easy access to Larnaca, Limassol, Nicosia motorway..Apartment for sale in New Marina-Port area, Larnaca. The apartment is on the first floor and offers comfortable living areas. It consists of an open plan kitchen, living & dining area, a main bathroom (with shower), 3 bedrooms, en suite master bedroom with shower, and covered veranda. Moreover, the property has access to a storage room on the roof top and a covered parking space on the ground floor..The apartment is part of an apartment building comprised of just 3 whole-floor apartments. All units comprised of 3 bedrooms and have exclusive right of use to a covered parking and storage. The penthouse, enjoys access to a private roof garden. It is worth mentioning that there is provision for a/c and solar photovoltaic system..The property is an ideal choice for those who seek small residential building while they are surrounded by plethora of amenities..Extra: Provision for A/C, Covered Veranda, Elevator, Storage Room, Covered Parking, Provision Solar Photovoltaic System",34.92929703421797,33.62554933157173,1st,No,
50794,51,Apartment,Covered,Resale,Fully Furnished,"Elevator, Balcony",6027,"Full, all rooms",B,2,3824,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Makenzy",5686708,Posted: Today 00:14,195000,3824,Kalogirou Real Estate,"Posting since mar, 2017","Fully renovated, two bedrooms apartment for sale in Makenzy, Larnaca. Close to amenities which include Greek and English Schools, sporting facilities, Saint Lazarus church and few steps walking distance to the famous beach of Makenzy and the promenade of Phoinikoudes. A 5-minute drive to Larnaca International Airport..Apartment for sale in the Makenzy area. It comprises of an open plan kitchen, living room/dining room as an open space, two bedrooms and one bathroom with shower and covered veranda..The apartment is currently vacant, making it an ideal option for either short-term or long-term rental, or for private use..Title Deed Available..Extra: A/C, Elevator, Fully Furnished, Kitchen Appliances, Covered Parking, Fully Renovated.",34.900391,33.635941,2nd,No,2002
