Property area,Type,Floor,Parking,Condition,Furnishing,Included,Air conditioning,Construction year,Energy Efficiency,Bedrooms,Square meter price,Bathrooms,title,extra title,sku,posted,price,price sq,agent,posting since,description,lat,lon,Reference number,Postal code,Online viewing,Registration block,Registration number
84,Apartment,1st,Covered,Brand new,Unfurnished,"Elevator, Balcony, Storage room",No,2025,A,2,3214,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agioi Anargyroi I",5421940,Posted: Yesterday 18:12,270000,3214,A. Kittos Estates,"Posting since jul, 2019","A 2-bedroom Brand New First Floor Apartment in Larnaca. The Apartment is located on the first floor in an upcoming popular location just next to all the amenities you need. Great location, at a distance of 500m away from Primary School Ayion Anargyron, 670m away from the nearest Gymnasium, 1.7km away from the New Upcoming Larnaca Marina, 10 minutes’ drive to Larnaca International Airport, and very close to all the amenities you need..On the ground floor there will be covered parking space for all the apartments. This apartment consists of a large open plan kitchen – living – dining room, a guest’s toilet with en-suite shower and two bedrooms with built-in wardrobes. The master bedroom has en-suite shower facilities. Double-glazed sliding doors are leading to the covered balcony, perfect for al fresco dining. The apartment is ready to move in. It also includes premium electrical and furniture package..Great investment opportunity, ideal for permanent residency as well as for holiday home..Type: First Floor Apartment.Bedrooms: 2.Bathrooms: 2.Toilets: 2.Covered Parking Space: 1.Covered Area: 83.5sq.m..Verandas: 20sq.m..Status: Brand New.Year of Built: 2025.Price: Euro270,000 + VAT",34.9304828,33.6215744,,,,,
80,Apartment,1st,Covered,Brand new,,"Elevator, Balcony",,2025,A,2,3063,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agioi Anargyroi I",6011394,Posted: Yesterday 18:10,245000,3063,A. Kittos Estates,"Posting since jul, 2019","A 2-bedroom Brand New First Floor Apartment in Larnaca. The Apartment is located on the first floor in an upcoming popular location just next to all the amenities you need. Great location, at a distance of 500m away from Primary School Ayion Anargyron, 670m away from the nearest Gymnasium, 1.7km away from the New Upcoming Larnaca Marina, 10 minutes’ drive to Larnaca International Airport, and very close to all the amenities you need..On the ground floor there will be covered parking space for all the apartments. This apartment consists of a large open plan kitchen – living – dining room, a guest’s toilet with en-suite shower and two bedrooms with built-in wardrobes. The master bedroom has en-suite shower facilities. Double-glazed sliding doors are leading to the covered balcony, perfect for al fresco dining. The apartment is ready to move in..Great investment opportunity, ideal for permanent residency as well as for holiday home..Type: First Floor Apartment.Bedrooms: 2.Bathrooms: 2.Toilets: 2.Covered Parking Space: 1.Covered Area: 80sq.m..Verandas: 33sq.m..Status: Brand New.Year of Built: 2025.Price: Euro245,000 + VAT",34.9304828,33.6215744,,,,,
100,Apartment,,Covered,Under construction,Unfurnished,,No,,A,2,3700,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Sotiros",5962522,Posted: Yesterday 18:10,370000,3700,DOM Real Estate,"Posting since jul, 2019","A cozy apartment for sale in the center of Larnaca. It is located in a 5-storey complex with only 20 apartments. The apartment has 2 bright bedrooms and 2 bathrooms. A spacious living room with an open plan kitchen. Built-in wardrobes in the kitchen and bedrooms provide convenient storage. The property is characterized by high technical characteristics, including solar panels to save energy. A covered veranda and a balcony with double glazed windows and doors add comfort and protection from external conditions. The complex has a covered parking and a storage room. There are shops, cafes, restaurants and supermarkets nearby. An ideal investment opportunity.",,,169067,4102,Yes,,
50,Apartment,4th,Covered,Resale,Fully Furnished,"Elevator, Balcony","Full, all rooms",2012,N/A,1,3580,1,1-bedroom apartment fоr sаle,"Larnaca, Aradippou - Agios Fanourios",5921326,Posted: Yesterday 18:09,179000,3580,CY Property Group,"Posting since jul, 2022","Bright apartment is available for sale, located in Agioi Anargyroi area, near to all amenities schools, bank, bakery, supermarket and ten minutes drive distance to the beach and city centre..The apartment consists of an open plan living and dining area which is unified with the kitchen, one bedroom and a main family bathroom..However, it has covered parking area, fully air-conditioned, fully furnished and a spacious veranda with sea view..Pets are not allowed.",34.93365686880023,33.62674423306504,6833,6053,Yes,,
91,Apartment,5th,Covered,Resale,Semi-Furnished,Balcony,"Full, all rooms",Older,N/A,2,2747,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Finikoudes",5125603,Posted: Yesterday 18:09,250000,2747,CY Property Group,"Posting since jul, 2022","Bright two bedroom apartment is available for sale, located in the heart of city center in Larnaca district, close to all amenities and services such as schools, supermarkets, bakeries, banks, restaurants, and the sea. The asset has internal covered total area of 91 sqm..The apartment is partially furnished and consists of an open-plan living and dining area, a kitchen, two bedrooms, one bathroom, one shower, guest WC, and one toilet..However, it has one covered parking space..Title deed available.",34.91856618204202,33.63723980676678,5024,6023,Yes,,
90,Apartment,4th,Covered,Resale,Fully Furnished,"Storage room, Elevator, Alarm","Full, all rooms",,B+,2,3667,,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Kamares",5125586,Posted: Yesterday 18:09,330000,3667,CY Property Group,"Posting since jul, 2022","A modern two bedroom penthouse is available for sale located in Kamares area in Larnaca district near to amenities and services including schools, supermarkets, bakeries, banks, restaurants, and a few minutes drive distance to the beach. The asset has a total covered area of 90 sqm..The apartment is fully furnished and consists of open plan kitchen, living and dining space, perfect for both relaxation and entertaining, two bedrooms, two bathroom, two showers, en suite shower and two toilets..However, it has one covered parking space of 12 sqm.",,,5003,,Yes,,
100,Apartment,,No,Resale,Semi-Furnished,Balcony,"Full, all rooms",2000,N/A,3,2800,,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Finikoudes",5080837,Posted: Yesterday 18:09,280000,2800,CY Property Group,"Posting since jul, 2022","Three bedroom renovated apartment is now available for sale in Larnaca..It is located in City Center and offers an easy access to a plethora o amenities and services such as schools, bank, shops, school etc..The flat consists of an open plan living and dining area, a kitchen, three bedrooms, a family bathroom and an en-suite shower on the master bedroom..Title deed available.",,,4900,,Yes,,
78,Apartment,4th,Covered,Resale,Fully Furnished,"Elevator, Balcony","Full, all rooms",2008,N/A,2,2821,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Harbor",4689777,Posted: Yesterday 18:08,220000,2821,CY Property Group,"Posting since jul, 2022","A two bedroom available for sale close to city centre area and to the Harbour, of Larnaca municipality. It is located close to a plethora of amenities such as schools, supermarkets, coffee shops, banks and other entertainment facilities. Just a walking distance to Larnaca Town Centre, to the harbour and the beach and also a short drive to the New Metropolis Mall of Larnaca..The property consists of two bedrooms with one en suite shower with toilet, an open plan of kitchen, living and dining room, a main bathroom with wc and one parking place..Title Deed available.",34.93419258797429,33.631591403596076,3502,,Yes,,
53,Apartment,,Covered,Under construction,Unfurnished,"Storage room, Elevator, Balcony","Full, all rooms",2025,N/A,1,2981,1,1-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5921134,Posted: Yesterday 18:01,158000,2981,2BUY&2LET,"Posting since jul, 2021","A beautifully designed apartment located in one of Livadia’s most sought-after residential areas. This second-floor, 1-bedroom, 1-bathroom home offers 53 square meter of internal living space and a 8 square meter covered veranda, perfect for enjoying outdoor dining or relaxing in comfort..Property Highlights:.• 1 comfortable bedroom1, 1 bathroom.• Total area: 53 square meter.• 8 square meter covered veranda.• Second-floor unit with covered parking and private storage.• Thermal insulation and double-glazed windows.• Provision for A/C and heat pump.• Solar-powered water heating system.• Secure entry with video intercom.Located just minutes from the New Marina, Land of Tomorrow, and American University of Cyprus, with quick access to all essential amenities, this apartment is ideal for permanent living or investment in a growing area..Contact us today for availability and viewings.",34.94220145884342,33.62586736679078,7205,6056,,,
86,Apartment,,Covered,Under construction,Unfurnished,"Storage room, Elevator, Balcony","Full, all rooms",2025,N/A,2,2733,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5921118,Posted: Yesterday 18:01,235000,2733,2BUY&2LET,"Posting since jul, 2021","Located in a quiet residential area of Livadia, this modern 2-bedroom, 2-bathroom apartment offers 86 square meter of internal space and a 24 square meter covered veranda. Set within a boutique building of 15 apartments, it features high-end materials, smart layout, and energy-efficient construction..Key features:.• 2 bedrooms, 2 bathrooms.• Internal area: 86 square meter.• Veranda: 24 square meter.• Total size: 110 square meter.• Second-floor unit.• Covered parking and storage.• Thermal insulation, double-glazed windows.• Provision for A/C and heat pump.• Solar water heater.• Secure building with intercom.Just 5 minutes from the New Marina, Land of Tomorrow, and American University of Cyprus, this apartment offers comfort, style, and long-term value..Contact us to arrange a viewing or for more details.",34.94220145884342,33.62586736679078,7201,6056,,,
