Reference number,Property area,Type,Parking,Condition,Furnishing,Air conditioning,Energy Efficiency,Bedrooms,Square meter price,Bathrooms,title,extra title,sku,posted,price,price sq,agent,posting since,description,lat,lon,Floor,Included,Online viewing,Construction year,Postal code
10254,81,Apartment,Covered,Under construction,Unfurnished,No,A,2,3272,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5732733,Posted: Yesterday 03:21,265000,3272,M.Residence Ltd,"Posting since feb, 2017","This stunning ground floor apartment offers the perfect blend of modern elegance and outdoor serenity. Nestled in Aradippou’s flourishing residential sector, it provides seamless access to Larnaca’ s vibrant core. Featuring an expansive private garden, this home extends your living space into nature, creating a tranquil oasis for relaxation or entertaining. The open plan layout is bathed in natural light, with a stylish kitchen, spacious lounge, and floor to ceiling glass doors leading to the lush garden. The master bedroom boasts an en suite bathroom and direct outdoor access, offering a peaceful retreat. With secure parking, energy efficient design, and access to premium amenities, this exclusive residence redefines modern living in a prime location.",34.9454313,33.5873985,,,,,
10255,102,Apartment,Covered,Under construction,Unfurnished,No,A,3,2549,2,3-bedroom apartment fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5732732,Posted: Yesterday 03:21,260000,2549,M.Residence Ltd,"Posting since feb, 2017","This elegant apartment offers a perfect blend of modern design, comfort, and convenience in a prime central location. Nestled in Aradippou’s flourishing residential sector, it provides seamless access to Larnaca’ s vibrant core.. Positioned for easy access to essential amenities and urban attractions, provides a serene living experience while staying connected to the vibrant pulse of the area.",34.9454444,33.58742,,,,,
10256,80,Apartment,Covered,Under construction,Unfurnished,No,A,2,3250,2,2-bedroom apartment fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5732730,Posted: Yesterday 03:21,260000,3250,M.Residence Ltd,"Posting since feb, 2017","This elegant apartment with a roof garden offers a perfect blend of modern design, comfort, and convenience in a prime central location. Nestled in Aradippou’s flourishing residential sector, it provides seamless access to Larnaca’ s vibrant core. Positioned for easy access to essential amenities and urban attractions, provides a serene living experience while staying connected to the vibrant pulse of the area.",34.9479488,33.5898932,,,,,
10257,81,Penthouse,Covered,Under construction,Unfurnished,No,A,2,3395,2,2-bedroom penthouse fоr sаle,"Larnaca, Aradippou - Apostolos Loukas",5732729,Posted: Yesterday 03:21,275000,3395,M.Residence Ltd,"Posting since feb, 2017","This stunning penthouse offers the perfect blend of modern design, comfort, and exclusivity in a prime central location. Positioned for effortless access to essential amenities and urban attractions, it provides a private sanctuary while remaining connected to the vibrant pulse of the city. Designed to maximize space and natural light, the penthouse features an expansive open plan layout, high end finishes, and floor to ceiling glass elements. The highlight of this exceptional residence is the private roof garden, offering breathtaking views and an ideal setting for relaxation or entertaining.",34.9464313,33.5883932,,,,,
51490,55,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,1,2545,1,1-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",5778284,Posted: Yesterday 03:14,140000,2545,Kalogirou Real Estate,"Posting since mar, 2017","Top Floor, One Bedroom Apartment for sale in Vergina area, Larnaca. Great location as it is close to a plethora of amenities, which include schools, supermarkets, pharmacies, hospital, entertainment Centre and the new mall of Larnaca. Just a short drive to Larnaca Town Centre, the beach and Larnaca International Airport..Apartment for sale in Vergina area, Larnaca Town. It is on the third floor & consists of an open plan kitchen, living and dining area, a main bathroom (with shower), one bedroom and covered veranda. Also, the property has private covered parking area and storage room..The project is a residential building, located near all local amenities with easy access to surrounding areas providing residents with fast accessibility to major landmarks. The project comprises of 9 one-, two-, bedroom apartments. Two top floor apartments benefit from private roof gardens with beautiful city views. This project represents an excellent investment opportunity for those looking to enjoy comfortable living in a prime location..Extra: Provision A/C, Covered Parking, Storage, Elevator",34.91876487410178,33.59134627459463,3rd,"Storage room, Elevator",No,,
49579,81,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,2,2593,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Kamares",5778278,Posted: Yesterday 03:14,210000,2593,Kalogirou Real Estate,"Posting since mar, 2017","Amazing, Two Bedroom Apartment for Sale in Krasas, Larnaca. Good location, close to all amenities such as schools, major supermarkets, banks, coffee shops etc. The new Metropolis Mall of Larnaca is only 6 minutes away. Very easy access to Larnaca, Limassol, Nicosia motorway. A short drive to Larnaca Town Center, the harbor and the beach. A 7-minute drive to Larnaca International Airport..Apartment for sale in Larnaca, Krasas area. The property consists of an open plan kitchen, living and dining area, two bedrooms the master with en-suite shower and a bathroom. It also offers covered verandas, covered parking spot and storage room..The property is situated in a quiet neighborhood, in a prime location in Larnaca surrounded with a lot of greenery. The flat is a part of a beautiful, modern and impressive residential development of 4 blocks. It consists of one, two and three bedroom apartments offering covered & uncovered verandas, roof gardens, parking spots for all residents, access to private storage, thermal insulations, double glazed windows, pressure system and A Energy Efficiency..Extra: Storage room, Covered Parking, Provision for A/C, Thermal Insulation, Pressure System, A Energy Efficiency.",34.90975250001411,33.58227808501024,1st,"Storage room, Garden, Elevator, Balcony",No,,
31585,91,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,2,2308,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Kamares",5778277,Posted: Yesterday 03:14,210000,2308,Kalogirou Real Estate,"Posting since mar, 2017","Spacious and Contemporary Two-Bedroom Apartment, for Sale in Krasas area, Larnaca. Amazing location, close to all amenities such as schools, major supermarkets, banks, coffee shops etc. The new Metropolis Mall of Larnaca is only 6 minutes away. Very easy access to Larnaca, Limassol, Nicosia motorway. A short drive to Larnaca Town Center, the harbor and the beach. A 7-minute drive to Larnaca International Airport..Apartment for sale in Larnaca, Krasas area. The property consists of 2 bedrooms, open plan kitchen, living and dining area, 1 bath, 2WC, 1 shower en-suite, covered parking, storage room, covered veranda, provision for a/c..The Property is situated in a quiet neighborhood, in a prime location in Larnaca..Extra: Elevator, Storage room, Covered Parking space, Provision for A/C.",34.90958931947844,33.58232300815752,1st,"Storage room, Elevator",No,,
31565,71,Apartment,Covered,Under construction,Unfurnished,"Full, all rooms",A,1,2394,1,1-bedroom apartment fоr sаle,"Larnaca, Larnaka - Kamares",5778276,Posted: Yesterday 03:14,170000,2394,Kalogirou Real Estate,"Posting since mar, 2017","Amazing One-Bedroom Apartment, for Sale in Krasas area, Larnaca. Amazing location, close to all amenities such as schools, major supermarkets, banks, coffee shops etc. The new Metropolis Mall of Larnaca is only 6 minutes away. Very easy access to Larnaca, Limassol, Nicosia motorway. A short drive to Larnaca Town Center, the harbor and the beach. A 7-minute drive to Larnaca International Airport..Apartment for sale in Larnaca, Krasas area. The property consists of 1 bedroom, open plan kitchen, living and dining area, 1 bath, 1WC, covered parking, storage, covered veranda, provision for a/c..The Property is situated in a quiet neighborhood, in a prime location in Larnaca..Extra: Elevator, Storage room, Covered Parking space, Provision for A/C.",34.90976523195414,33.5821801149599,1st,"Storage room, Elevator",No,,
3364,84,Apartment,Covered,Under construction,,"Full, all rooms",A,3,2321,2,3-bedroom apartment fоr sаle,"Larnaca, Oroklini",5778209,Posted: Yesterday 03:13,195000,2321,KADIS ESTATES,"Posting since feb, 2017","✔️3 Bed.✔️2 W/C.✔️Internal Area 84m2.✔️Covered Area 21m2.✔️Energy Efficiency ""A""",34.9828802,33.6558907,1st,Elevator,Yes,,
2491,90,Apartment,Covered,Resale,,"Full, all rooms",B+,2,1611,1,2-bedroom apartment fоr sаle,"Larnaca, Tersefanou",5920004,Posted: Yesterday 00:35,145000,1611,Property Choice Ltd,"Posting since dec, 2017","This 2-bedroom apartment is located in a peaceful area of Tersefanou..The Property offers a comfortable covered area of 90sqm, consisting of open plan living and dining area, a fully equipped and functional kitchen and two spacious bedrooms, sharing a family bathroom. Next to the living area, a balcony offers relaxing views..The Property comes with a private covered parking. The complex provides a communal pool and a spacious mature garden, where you can enjoy beautiful moments of peace and relaxation..The location of the apartment offers easy access to the highway and just a 5 minute drive from Kiti, where all amenities are provided, such as supermarkets, schools, pharmacies, cafes, restaurants and other amenities..Ideal for couples and small families which can be used as a residence, a relaxing holiday apartment or even for investment purposes..TITLE DEED AVAILABLE!!!",34.855366,33.54689,2nd,"Pool, Garden, Elevator",No,2012,
