Reference number,Property area,Type,Parking,Condition,Furnishing,Included,Air conditioning,Construction year,Energy Efficiency,Bedrooms,Square meter price,Bathrooms,title,extra title,sku,posted,price,price sq,agent,posting since,description,lat,lon,Floor,Online viewing,Postal code
3594,73,Apartment,No,Resale,Fully Furnished,Balcony,"Full, all rooms",Older,N/A,2,2603,1,2-bedroom apartment fоr sаle,"Larnaca, Meneou",5872366,Posted: 24.09.2025 15:39,190000,200000,PLUS WISE ESTATES LTD,"Posting since jul, 2023","Sea view, two bedroom apartment in Meneou, Larnaca. The property can be found in an amazing family orientated location near to an abundance of amenities such as supermarkets, bakeries, schools, pharmacies, coffee shops, restaurants etc. The city center is 12.5 km away and a 5.5 km drive to Larnaca International Airport..The apartment consists of an open plan kitchen, living, dining area, two bedrooms, a main bathroom with a bathtub and a covered veranda with beautiful sea views..The internal area of the property is 73 sq. m and has a covered veranda of 10 sq. m..There is another two-bedroom apartment available, featuring an internal area of 80 sqm and a covered veranda of 10 sqm, priced at Euro195,000.",34.8618571,33.5954577,,,
53081,54,Apartment,Covered,Under construction,Unfurnished,"Storage room, Elevator","Full, all rooms",,A,1,3796,1,1-bedroom apartment fоr sаle,"Larnaca, Larnaka - Agios Nikolaos",6009577,Posted: 24.09.2025 15:35,205000,3796,Kalogirou Real Estate,"Posting since mar, 2017","Top Floor, One Bedroom Apartment for sale in Drosia area, Larnaca. It is situated in an amazing location, just 3 km from Finikoudes Beach, a few minutes from Metropolis Mall and close to all essential amenities (school, shops etc). The location combines convenience and exclusivity..Apartment on the third floor for sale in Larnaca, in Drosia area. It consists of an open plan kitchen, living, dining area, one bedroom, a main shower room and covered veranda. Moreover, the property has private access to a covered parking and storage..The project boasts 12 one-, two- bedroom apartments, all with spacious and contemporary living areas. Three top floor apartments benefit from private roof-gardens with amazing views of the lovely neighborhood. Each apartment has one parking bay and a storage room..Extra: Provision A/C, Covered Veranda, Covered parking, Storage room, Elevator",34.91401613876045,33.62005995556953,3rd,No,
7819,110,Apartment,Covered,Under construction,Unfurnished,,"Full, all rooms",,A,3,4864,3,3-bedroom apartment fоr sаle,"Larnaca, Larnaka - Makenzy",5166924,Posted: 24.09.2025 15:29,535000,4864,M.Residence Ltd,"Posting since feb, 2017","New project in the Golden Square of Larnaca! A luxurious building, situated at only 2 minutes from Mackenzie beach in one of the most prestigious and touristic areas in Larnaca, at a walking distance from restaurants and cafes, a spacious one bedroom flat with high specs, which includes high end materials, full a/c, granite kitchen tops and many more.",34.9014878,33.6428893,,,
10966,78,Apartment,Covered,Under construction,Unfurnished,,No,,A,2,3038,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5960556,Posted: 24.09.2025 15:28,237000,3038,M.Residence Ltd,"Posting since feb, 2017","This stylish 2 bedroom flat is set within an exclusive two-block complex, offering residents access to a sparkling common swimming pool and a fully equipped gym. Elevated in an open and serene location, the property boasts pool view, while also offering vistas of the surrounding landscape. Designed with a focus on high quality construction and contemporary aesthetics, the flat combines comfort with sophistication. Bright interiors, spacious layouts, and sleek finishes create a refined living environment, making it an ideal choice for those seeking a permanent home or a seaside retreat. The development enjoys a prime location, close to all amenities, with excellent access to the highway and just minutes from the beach, offering both convenience and an exceptional lifestyle.",34.9637964,33.6463553,,,
10967,78,Apartment,Covered,Under construction,Unfurnished,,No,,A,2,3205,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5960555,Posted: 24.09.2025 15:28,250000,3205,M.Residence Ltd,"Posting since feb, 2017","This stylish 2 bedroom flat is set within an exclusive two block complex, offering residents access to a sparkling common swimming pool and a fully equipped gym. Elevated in an open and serene location, the property boasts breathtaking sea views, stretching across the Larnaca coastline and beyond, while also offering vistas of the surrounding landscape. Designed with a focus on high quality construction and contemporary aesthetics, the flat combines comfort with sophistication. Bright interiors, spacious layouts, and sleek finishes create a refined living environment, making it an ideal choice for those seeking a permanent home or a seaside retreat. The development enjoys a prime location, close to all amenities, with excellent access to the highway and just minutes from the beach, offering both convenience and an exceptional lifestyle.",34.9622525,33.6449304,,,
10968,78,Penthouse,Covered,Under construction,Unfurnished,,No,,A,2,4295,2,2-bedroom penthouse fоr sаle,"Larnaca, Livadia Larnakas",5960554,Posted: 24.09.2025 15:28,335000,4295,M.Residence Ltd,"Posting since feb, 2017","This stylish 2 bedroom penthouse is set within an exclusive two block complex, offering residents access to a sparkling common swimming pool and a fully equipped gym. Elevated in an open and serene location, the property boasts breathtaking sea views, stretching across the Larnaca coastline and beyond, while also offering vistas of the surrounding landscape. Designed with a focus on high quality construction and contemporary aesthetics, the flat combines comfort with sophistication. Bright interiors, spacious layouts, and sleek finishes create a refined living environment, making it an ideal choice for those seeking a permanent home or a seaside retreat. The development enjoys a prime location, close to all amenities, with excellent access to the highway and just minutes from the beach, offering both convenience and an exceptional lifestyle.",34.9622964,33.6448874,,,
10972,76,Apartment,Covered,Under construction,Unfurnished,,No,,A,2,2961,2,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Sotiros",5960552,Posted: 24.09.2025 15:28,225000,2961,M.Residence Ltd,"Posting since feb, 2017","A collection of 8 contemporary two bedroom apartments, thoughtfully crafted to reflect the essence of modern city living. Ideally positioned in a prime location, the residences offer effortless access to the blue flag beaches, as well as a vibrant array of shopping, dining, and entertainment options. Combining quality, comfort, and convenience, these apartments present the perfect place to call home.",34.9386834,33.632691,,,
10973,76,Penthouse,Covered,Under construction,Unfurnished,,No,,A,2,4079,2,2-bedroom penthouse fоr sаle,"Larnaca, Larnaka - Sotiros",5960551,Posted: 24.09.2025 15:28,310000,4079,M.Residence Ltd,"Posting since feb, 2017","A collection of 8 contemporary two bedroom apartments, thoughtfully crafted to reflect the essence of modern city living. Ideally positioned in a prime location, the residences offer effortless access to the blue flag beaches, as well as a vibrant array of shopping, dining, and entertainment options. Combining quality, comfort, and convenience, these apartments present the perfect place to call home.",34.9397186,33.6337876,,,
52851,72,Apartment,Uncovered,Resale,Fully Furnished,"Elevator, Balcony","Full, all rooms",Older,C,2,3264,1,2-bedroom apartment fоr sаle,"Larnaca, Larnaka - Makenzy",5960498,Posted: 24.09.2025 15:17,235000,3264,Kalogirou Real Estate,"Posting since mar, 2017","Sea view, renovated, two bedroom apartment for sale in Makenzy area, Larnaca. The flat takes place 300 meters from the beach. Close to amenities, a variety of shops and entertainment facilities. Within walking distance to the promenade and Larnaca town center. The Larnaca International Airport is just a few minutes away..Sixth floor apartment for sale in Makenzy Larnaca. It is renovated & equipped with a/c split units. The flat consists of an open plan kitchen-dining-living area, a main bathroom with shower and wc, two bedrooms and two covered balconies. Internal covered area is 72 sqm and covered balconies around 10 sqm..The area of the property is characterized as quiet, residential and touristic..The flat is a great opportunity for someone who is looking to invest in short term rent, for example, at Airbnb, or for long term rent. It is also perfectly suitable for a personal use..Title Deed Available..Extra: Sea View, Renovated, Furnished, Kitchen Appliances, Walking Distance to the Beach, Elevator..Title Deed Available.",34.906586,33.635877,6th,No,6027
6999,82,Apartment,Covered,Under construction,Unfurnished,"Pool, Storage room, Elevator, Balcony","Full, all rooms",,A,2,3268,2,2-bedroom apartment fоr sаle,"Larnaca, Livadia Larnakas",5919115,Posted: 24.09.2025 15:01,268000,3268,2BUY&2LET,"Posting since jul, 2021","The two-bedroom apartment is expertly crafted to blend modern style with practical comfort, making them perfect for small families, roommates, or couples who need extra space. With generous interiors, elegant finishes, and smart layouts, each unit provides a refined and spacious living experience. Residents also benefit from exclusive access to premium on-site amenities, including a communal swimming pool and a fully equipped gym—offering the ideal balance of relaxation, wellness, and convenience..Price Euro268,000(+VAT).OFF PLAN.Completion 2027.Main Amenities.- Common Swimming Pool.- Gated entrance.- Basement parking.- Common Gym",34.9638625,33.6413906,,,7060
